source,target,edge
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,1.0
A3W11493KS6Z2L,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,3.0
A3HX4X3TIABWOV,B000KPIHQ4,1.0
AW8UBYMNJ894V,B000KPIHQ4,1.0
A265UZVOZWTTXQ,B000KPIHQ4,5.0
AW8UBYMNJ894V,B000KPIHQ4,5.0
A265UZVOZWTTXQ,B000KPIHQ4,5.0
AW8UBYMNJ894V,B000KPIHQ4,5.0
A265UZVOZWTTXQ,B000KPIHQ4,5.0
A3HX4X3TIABWOV,B000V0IBDM,2.0
AW8UBYMNJ894V,B000V0IBDM,2.0
A265UZVOZWTTXQ,B000V0IBDM,5.0
AW8UBYMNJ894V,B000V0IBDM,5.0
A265UZVOZWTTXQ,B000V0IBDM,5.0
AW8UBYMNJ894V,B000V0IBDM,5.0
A265UZVOZWTTXQ,B000V0IBDM,5.0
A3QY3THQ42WSCQ,B000YFSR5G,1.0
AGZ5OOZVDO194,B000YFSR5G,5.0
A3GJ3DJU1RXOHN,B000YFSR4W,4.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A2ON4RYI9Z4SQ,B000YFSR5G,5.0
A3QY3THQ42WSCQ,B000YFSR4W,1.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A1EZN3E9R322YJ,B000YFSR5G,5.0
A3T8NHQYBQSV1X,B000YFSR5G,1.0
A2NEJIX5NIH2ZZ,B000YFSR5G,5.0
A2NEJIX5NIH2ZZ,B000YFSR5G,1.0
A3T8NHQYBQSV1X,B000YFSR5G,5.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
AGZ5OOZVDO194,B000YFSR4W,5.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
A1Y01U6OZLZE7I,B000YFSR5G,4.0
A21HH0VIBKK80J,B000YFSR5G,1.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A36GNVEQP92OPA,B000YFSR5G,5.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A2ON4RYI9Z4SQ,B000YFSR4W,5.0
A3GJ3DJU1RXOHN,B000YFSR5G,4.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A1EZN3E9R322YJ,B000YFSR4W,5.0
A3T8NHQYBQSV1X,B000YFSR4W,3.0
A2NEJIX5NIH2ZZ,B000YFSR4W,5.0
A2NEJIX5NIH2ZZ,B000YFSR4W,3.0
A3T8NHQYBQSV1X,B000YFSR4W,4.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A2BFZUQ2XV535H,B000YFSR4W,5.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
A1Y01U6OZLZE7I,B000YFSR4W,4.0
A21HH0VIBKK80J,B000YFSR4W,1.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A276HQXYS553QW,B0014F8TIU,1.0
A276HQXYS553QW,B0014F8TIU,1.0
A3BN0MRGRDKM0J,B0014F8TIU,5.0
A276HQXYS553QW,B0014F8TIU,5.0
A3HX4X3TIABWOV,B0014HA6VG,4.0
A3HX4X3TIABWOV,B0014HA6VG,5.0
A1Z8U8IPBLBEU5,B0017LD0BM,1.0
A36GNVEQP92OPA,B0017LD0BM,1.0
A33GD4H5O1MK6S,B0017LD0BM,4.0
A12DWXDNZQTKXQ,B0017LD0BM,1.0
A2VR6SWVSF6K4,B0017LD0BM,1.0
A1Z8U8IPBLBEU5,B0017LGD34,3.0
A36GNVEQP92OPA,B0017LGD34,2.0
A33GD4H5O1MK6S,B0017LGD34,4.0
A12DWXDNZQTKXQ,B0017LGD34,3.6666666666666665
A2VR6SWVSF6K4,B0017LGD34,4.0
A3QY3THQ42WSCQ,B000YFSR5G,1.0
AGZ5OOZVDO194,B000YFSR5G,5.0
A3GJ3DJU1RXOHN,B000YFSR4W,4.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A2ON4RYI9Z4SQ,B000YFSR5G,5.0
A3QY3THQ42WSCQ,B000YFSR4W,1.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A1EZN3E9R322YJ,B000YFSR5G,5.0
A3T8NHQYBQSV1X,B000YFSR5G,3.0
A2NEJIX5NIH2ZZ,B000YFSR5G,5.0
A2NEJIX5NIH2ZZ,B000YFSR5G,3.0
A3T8NHQYBQSV1X,B000YFSR5G,4.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
AGZ5OOZVDO194,B000YFSR4W,5.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
A1Y01U6OZLZE7I,B000YFSR5G,4.0
A21HH0VIBKK80J,B000YFSR5G,1.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A36GNVEQP92OPA,B000YFSR5G,5.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A2ON4RYI9Z4SQ,B000YFSR4W,5.0
A3GJ3DJU1RXOHN,B000YFSR5G,4.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A1EZN3E9R322YJ,B000YFSR4W,5.0
A3T8NHQYBQSV1X,B000YFSR4W,3.0
A2NEJIX5NIH2ZZ,B000YFSR4W,5.0
A2NEJIX5NIH2ZZ,B000YFSR4W,3.0
A3T8NHQYBQSV1X,B000YFSR4W,4.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A2BFZUQ2XV535H,B000YFSR4W,5.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
A1Y01U6OZLZE7I,B000YFSR4W,4.0
A21HH0VIBKK80J,B000YFSR4W,1.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A276HQXYS553QW,B0014F8TIU,1.0
A276HQXYS553QW,B0014F8TIU,1.0
A3BN0MRGRDKM0J,B0014F8TIU,5.0
A276HQXYS553QW,B0014F8TIU,4.0
A3HX4X3TIABWOV,B0014HA6VG,4.0
A3HX4X3TIABWOV,B0014HA6VG,5.0
A1Z8U8IPBLBEU5,B0017LD0BM,3.0
A36GNVEQP92OPA,B0017LD0BM,2.0
A33GD4H5O1MK6S,B0017LD0BM,4.0
A12DWXDNZQTKXQ,B0017LD0BM,3.6666666666666665
A2VR6SWVSF6K4,B0017LD0BM,4.0
A1Z8U8IPBLBEU5,B0017LGD34,3.0
A36GNVEQP92OPA,B0017LGD34,2.0
A33GD4H5O1MK6S,B0017LGD34,4.0
A12DWXDNZQTKXQ,B0017LGD34,3.6666666666666665
A2VR6SWVSF6K4,B0017LGD34,4.0
A3UMNRR89DIZRM,B001IKJOLW,4.0
AZRZ2FB7CFNOE,B001IKJOLW,5.0
A4M7JTCBXRAT3,B001IKJOLW,3.0
A2TRI54C8EMCX,B001IKJOLW,5.0
A1WVSBL8J4ZESK,B001IKJOLW,5.0
A2GJUMX0CRHLIN,B001IKJOLW,2.0
A3KAX5RZ4XH9L7,B001IKJOLW,4.0
A2YI41MCJB2QCV,B001IKJOLW,3.0
A3ONF0JD2UBP54,B001IKJOLW,5.0
A3R09ZAUTB2PUU,B001IKJOLW,5.0
A1VH37JYIIHE3F,B001IKJOLW,5.0
AOZHQ15OKY2ZT,B001IKJOLW,3.0
A2YZERYQTLB8NG,B001IKJOLW,5.0
A2EGVPBTNJI3HB,B001IKJOLW,5.0
A1B3W4RSJ1CJEO,B001IKJOLW,5.0
A3P9DECTULU1B3,B001IKJOLW,5.0
A353OJ19SEMPT4,B001IKJOLW,3.0
A1CIQ2ULKB933A,B001IKJOLW,3.0
A1TFZVGT6J5NYZ,B001IKJOLW,5.0
A2IJJUO99LXIXG,B001IKJOLW,5.0
A1CKPC88NHMYGR,B001IKJOLW,5.0
A1S4O68F0UG4GA,B001IKJOLW,5.0
A8C8Q1GQPYPR3,B001IKJOLW,4.0
A3RHNGQAZWUX01,B001IKJOLW,5.0
A2ILUTAAPPZY79,B001IKJOLW,5.0
A21PLUMLST80EK,B001IKJOLW,5.0
A1R9CFF27RIALC,B001IKJOLW,3.0
A3KKVVAINMZF9D,B001IKJOLW,5.0
AHQZL3LSIR57E,B001IKJOLW,5.0
A36UF843501J4Y,B001IKJOLW,5.0
AJ74ZOS1UKOBA,B001IKJOLW,5.0
A3UTTXFSBNV2V7,B001IKJOLW,5.0
A2QPBIA0HKEL96,B001IKJOLW,5.0
AHXQ0PAMEKC0P,B001IKJOLW,4.0
A2P6I9PGAVEW6E,B001IKJOLW,5.0
A6CXK8NXD50R2,B001IKJOLW,1.0
A39943Z2419XIU,B001IKJOLW,5.0
A2RZ3T3ECENTMO,B001IKJOLW,5.0
A16BGUHQH20CIP,B001IKJOLW,5.0
A3O3KF45YVTOGY,B001IKJOLW,5.0
A3TLWN2BRF1QH5,B001IKJOLW,5.0
A2ZGEESHHGFZKL,B001IKJOLW,5.0
AUE82PKEUMKZB,B001IKJOLW,1.0
A2UVALXRJ35D1A,B001IKJOLW,2.0
A3E05IUHHCTRJC,B001IKJOLW,5.0
A3RNGBSBRJ3YAQ,B001IKJOLW,5.0
A13W5DGU9QF721,B001IKJOLW,5.0
A2QRWCN5YR05G9,B001IKJOLW,5.0
A2UALK0MY7S3C2,B001IKJOLW,5.0
A5JF4EQ9MQC78,B001IKJOLW,5.0
A3VGHF7VNFBMCQ,B001IKJOLW,5.0
A13JGYKUU10QKH,B001IKJOLW,5.0
ATHL3S7ZD436V,B001IKJOLW,4.0
A36T5MSMYI9F3C,B001IKJOLW,5.0
ACZAPPQ95QM86,B001IKJOLW,5.0
A23TE15JI8Q2YQ,B001IKJOLW,1.0
AC5PPX3XLCZN1,B001IKJOLW,5.0
A3U0BBRU2Q85LE,B001IKJOLW,3.0
A174EEWMHB3J8N,B001IKJOLW,5.0
A1VXFXHDY4SRI5,B001IKJOLW,5.0
A1FQAVH5JBSV6A,B001IKJOLW,5.0
A2GBBOXDACUA6,B001IKJOLW,5.0
A2LZMWZ1CM4PF3,B001IKJOLW,5.0
A1UVWOQTPDSYGY,B001IKJOLW,2.0
A18530DRJJ0QAF,B001IKJOLW,5.0
A2LSGH30A8AN2Y,B001IKJOLW,3.0
A1LKTJ6HKH077C,B001IKJOLW,5.0
A1DX2WRQ2ZHAEK,B001IKJOLW,5.0
A2PWOO618R3IKJ,B001IKJOLW,5.0
AERFS3FMQJJ9L,B001IKJOLW,3.0
A22FYN2DKXSWS0,B001IKJOLW,3.0
A22WH1BPQH7XJD,B001IKJOLW,4.0
A3OP70LPLALBKN,B001IKJOLW,5.0
A3OP70LPLALBKN,B001IKJOLW,5.0
A1BN6I0B2OF7WB,B001IKJOLW,1.0
A2PYQN4T4LV0NP,B001IKJOLW,5.0
A14LN0R1PQA5WI,B001IKJOLW,4.0
A35U6TP5276HMD,B001IKJOLW,5.0
AKZNLII88A0KO,B001IKJOLW,5.0
A3PZ1TJ71WPLXV,B001IKJOLW,4.0
A3M69Q5SNV7U0X,B001IKJOLW,2.0
A2GOOFFNUI20XI,B001IKJOLW,5.0
A10Z8PKPUJ7YHO,B001IKJOLW,3.0
AHFAVT1MUB29W,B001IKJOLW,4.0
A10X6EMVZGVX9E,B001IKJOLW,5.0
A3JPU96NVWGUF5,B001IKJOLW,4.0
A2620Z0QR2OFYC,B001IKJOLW,5.0
A312BTXKFHK927,B001IKJOLW,5.0
A30HFZ2FW8CQBI,B001IKJOLW,5.0
AF70T61UO8MCD,B001IKJOLW,5.0
AJX8JEGB4Z8AI,B001IKJOLW,5.0
A2HMEEX4K9UX81,B001IKJOLW,5.0
AKG96VVJ8XANP,B001IKJOLW,3.0
A34LYR4FWZ77CA,B001IKJOLW,5.0
A2M3ZNLCYPZ5A1,B001IKJOLW,3.0
AQAY0P6DQAWDL,B001IKJOLW,5.0
A246RG8KSPK5XS,B001IKJOLW,5.0
A2JCYVQLKWULGM,B001IKJOLW,5.0
A1EF7YWCNN7E9K,B001IKJOLW,5.0
AQWZQKD0N851T,B001IKJOLW,5.0
A3V6I3EA3X3SCE,B001IKJOLW,5.0
AGT48Z76ZQSQU,B001IKJOLW,5.0
A2W3B4YHP3HZ9R,B001IKJOLW,5.0
AGVYFU0PR5IWV,B001IKJOLW,5.0
A2SU06VTWMFP7C,B001IKJOLW,5.0
AVZB7UFLT6VD,B001IKJOLW,5.0
ANPPQ1G3RP88H,B001IKJOLW,5.0
ABONZZSS8YG3K,B001IKJOLW,5.0
A2T8BWOO7BFBWY,B001IKJOLW,5.0
A1NTI9B7VY30JM,B001IKJOLW,5.0
AM9TTLTT6DR1W,B001IKJOLW,4.0
AP8CWOZ30P4GH,B001IKJOLW,1.0
A2ORP5RT8NQ0Q7,B001IKJOLW,5.0
A5Z3UGOPDBJPW,B001IKJOLW,5.0
A2GWLCDWM7V59I,B001IKJOLW,4.0
A2XUQXG9J9SRTG,B001IKJOLW,1.0
A2R0RL0TF6E9VC,B001IKJOLW,5.0
AB29N6EMOFEVW,B001IKJOLW,5.0
A2Y2IKO63FNHQE,B001IKJOLW,3.0
A1OK7HI3YI9682,B001IKJOLW,5.0
A39U1R8S96YIR4,B001IKJOLW,5.0
A1Z37N7XE7FRD2,B001IKJOLW,5.0
A3LGYYLGO2KJOE,B001IKJOLW,5.0
A1J3XYI0M1D0LW,B001IKJOLW,4.0
A9KR8PT0Z47CL,B001IKJOLW,3.0
A1AUEUD7NP1LUC,B001IKJOLW,5.0
A177WB7O660HS8,B001IKJOLW,5.0
A38BS1VCQ4XSGV,B001IKJOLW,5.0
A38X15IJFAPHZP,B001IKJOLW,3.0
A1OFFB5DLIHH41,B001IKJOLW,5.0
A1PFKS00R93MRZ,B001IKJOLW,5.0
A23H50RT6SLXY9,B001IKJOLW,4.0
APWLFTPOXQCCG,B001IKJOLW,5.0
AN5PL4KUZS35E,B001IKJOLW,5.0
A37EEIAK5YJGTS,B001IKJOLW,5.0
A87LWEOT3ZJU7,B001IKJOLW,5.0
A1LCV2UNXGHB0W,B001IKJOLW,5.0
A3O0UBMD8CSF1V,B001IKJOLW,5.0
A184AKBVD3WI86,B001IKJOLW,3.0
A3I0ZDRING4F8W,B001IKJOLW,5.0
AXZ02W7FMBC35,B001IKJOLW,5.0
A29K85C92Z8HGR,B001IKJOLW,4.0
AE6W48FPMKO4L,B001IKJOLW,3.0
AKY3EYDEZVW6C,B001IKJOLW,5.0
A1GQ2TRY8J631M,B001IKJOLW,5.0
A21M1G84SE8SOO,B001IKJOLW,5.0
AU2OMN6TEN4GA,B001IKJOLW,5.0
A2PJ5F6BY1TZNK,B001IKJOLW,5.0
A3B23RZXRXYT9Q,B001IKJOLW,5.0
A3JTZ664IGZIOK,B001IKJOLW,4.0
A2JOUOASELY1XR,B001IKJOLW,5.0
ADTQ22MUSQFIR,B001IKJOLW,5.0
A1OM5S4Z9J2JQQ,B001IKJOLW,3.0
AXJZFD1IUBAE7,B001IKJOLW,5.0
A3UO0DDWXIJ8DW,B001IKJOLW,5.0
A4GR8SDFRBSDV,B001IKJOLW,5.0
A29ACU3O9IMICZ,B001IKJOLW,5.0
A9C9408H23DRM,B001IKJOLW,5.0
A3T9CL6JYWAP40,B001IKJOLW,1.0
A3W0GO31B8Y2KE,B001IKJOLW,5.0
A3GQXGVAIH5EU4,B001IKJOLW,5.0
A14LVJDMDABMML,B001IKJOLW,5.0
AJWKZNI5VHW86,B001IKJOLW,4.0
A3J4XAGMLTHFHZ,B001IKJOLW,3.0
A12FBA7DCFE5W7,B001IKJOLW,5.0
A2ZE58RF22658T,B001IKJOLW,5.0
AT7UEQ7UJB0RU,B001IKJOLW,5.0
AT7UEQ7UJB0RU,B001IKJOLW,5.0
A10WPKF2VH1JWY,B001IKJOLW,4.0
A2ABEGA0S52R5E,B001IKJOLW,4.0
ADD8OMIBXZ89G,B001IKJOLW,3.0
A1P2JWDZ4SFW78,B001IKJOLW,5.0
AI4KO5XDRKDFR,B001IKJOLW,5.0
A24DSR6Y3A08QM,B001IKJOLW,5.0
A1E4Y7BABMEA03,B001IKJOLW,5.0
AJDX5KE665V0K,B001IKJOLW,5.0
A1SR58S4CXKU5G,B001IKJOLW,4.0
A3D71DQPAAI6O4,B001IKJOLW,5.0
AASAT3YLO3WTB,B001IKJOLW,5.0
A1RNS06YMZXM0K,B001IKJOLW,4.0
A21SV1XYXF2GK,B001IKJOLW,4.0
A17DW041T4X7TJ,B001IKJOLW,5.0
A14TS9PCRLLWEG,B001IKJOLW,5.0
A2ZMHBMNYFXOX7,B001IKJOLW,4.0
A1K0VEMIB5QF7I,B001IKJOLW,5.0
A135KOM855ZA5,B001IKJOLW,5.0
A2IAB9QOQH3IA6,B001IKJOLW,5.0
A3S1CGGMXE41RR,B001IKJOLW,5.0
A3B4FM5VE99X4P,B001IKJOLW,5.0
AKJVCU7H1KDWI,B001IKJOLW,5.0
AFD4WKNPLPS3I,B001IKJOLW,5.0
A36GUL3Z65YSIP,B001IKJOLW,4.0
AT72GRKOXVE25,B001IKJOLW,5.0
A2AEJ9NTLWD61V,B001IKJOLW,5.0
AWEIW3G1E0MKO,B001IKJOLW,5.0
A2IFCGU2IQ6KAV,B001IKJOLW,4.0
A2AGT9INDKDK6B,B001IKJOLW,5.0
A2Q6OH5LUQXPFV,B001IKJOLW,4.0
ADLAYE3PNYFJM,B001IKJOLW,5.0
AZ7LUSY20ZFSC,B001IKJOLW,5.0
A1L7TD1CZQDK6R,B001IKJOLW,5.0
A3T1O294HJJTUH,B001IKJOLW,4.0
A3EOYFVP68048C,B001IKJOLW,5.0
A2JX7ESVMGXMJY,B001IKJOLW,2.0
A2K5ZBX75J80TX,B001IKJOLW,1.0
AY9TXNLYCD9L5,B001IKJOLW,5.0
A9MOCNHJD03PI,B001IKJOLW,5.0
AEUUYBIO73RLA,B001IKJOLW,5.0
A3A2DRPMDCRFBC,B001IKJOLW,5.0
A140XVPLRQYKYY,B001IKJOLW,4.0
A2KMWD77XBGZ8K,B001IKJOLW,5.0
A25SOIZ0IZE1YY,B001IKJOLW,5.0
A1ZR8LQHUOUFJP,B001IKJOLW,3.0
A2AAABWQUYH26V,B001IKJOLW,4.0
A3LBTMJ453T4W6,B001IKJOLW,3.0
A2NBGWZH3VC2EW,B001IKJOLW,5.0
A3B5TYITM5FKRO,B001IKJOLW,5.0
A2O3GSYI4B5Z9H,B001IKJOLW,5.0
AG1CF6PFNBOQH,B001IKJOLW,5.0
A1LLDHUO4OLXYI,B001IKJOLW,5.0
A37K0VP2H8FKOU,B001IKJOLW,4.0
A37K0VP2H8FKOU,B001IKJOLW,4.0
AZYHPRWLMSY9O,B001IKJOLW,5.0
A1GZ9Z5M3Q4FDK,B001IKJOLW,5.0
A3F5015D4BBJM9,B001IKJOLW,4.0
ABKS5CX4GI72B,B001IKJOLW,5.0
A2A1WECA7Y5UPN,B001IKJOLW,4.0
A3PRZ9ESGB2KPU,B001IKJOLW,5.0
A3JGWZXFBDENRB,B001IKJOLW,3.0
A6BHQ6FNIRI1K,B001IKJOLW,5.0
A1EE1EP2G0HKQ,B001IKJOLW,5.0
A2DDYH2QTGQ6FZ,B001IKJOLW,5.0
A2T47RI1J0I7JM,B001IKJOLW,5.0
ABWHIDHK8JSRD,B001IKJOLW,4.0
ADUWEIS0CHJV8,B001IKJOLW,4.0
A2JD3RN8JCO62Z,B001IKJOLW,2.0
A3BN0MRGRDKM0J,B001IKJOLW,5.0
AODFGQL9CC7G7,B001IKJOLW,3.0
A13P82MG3XFWV1,B001IKJOLW,5.0
A8I41EKH4UI1Y,B001IKJOLW,5.0
ADJRDVMENHF0J,B001IKJOLW,5.0
A3QKKFB26AZSMG,B001IKJOLW,5.0
A1IE5BGNY2JTF4,B001IKJOLW,2.0
A1F6LKEC43RSZM,B001IKJOLW,5.0
A3BZKR332FQEP8,B001IKJOLW,5.0
ARY4E7Y947T9P,B001IKJOLW,4.0
A8DR2Z71DERN0,B001IKJOLW,1.0
A3RP2S6J4VUA7D,B001IKJOLW,4.0
A34NDY5V71MVJ6,B001IKJOLW,5.0
A2AXI9WHORKU6X,B001IKJOLW,5.0
AOYR5V85UYA8O,B001IKJOLW,5.0
A38Z4KJHHVY0AU,B001IKJOLW,5.0
A1WK3VVSUB1FY7,B001IKJOLW,5.0
A3KWGJH9EBRLE8,B001IKJOLW,4.0
A199ICSPL9EXJ5,B001IKJOLW,1.0
A11D8CLU9H24YK,B001IKJOLW,5.0
A3A90ECS7ALV4T,B001IKJOLW,5.0
A1LLX8PMQSAUHT,B001IKJOLW,5.0
A62VUJ6MUZU6M,B001IKJOLW,5.0
A37RTXMIC21YOH,B001IKJOLW,5.0
A2JMHGCCBZPYP4,B001IKJOLW,5.0
A29KOO6WMPLGOQ,B001IKJOLW,5.0
A3LWEZO2OWFJX5,B001IKJOLW,5.0
A1IR4GED6BXNSR,B001IKJOLW,5.0
A9MNC403IAKFS,B001IKJOLW,2.0
ASEXDKPTYY14D,B001IKJOLW,5.0
AEHOCC2S72M38,B001IKJOLW,5.0
A1R7S4XNZLSLBH,B001IKJOLW,2.0
A3PTZ7IHGU9BA8,B001IKJOLW,1.0
AZ7P3NH09B66S,B001IKJOLW,5.0
A37OEAOYVLKYC,B001IKJOLW,5.0
A1QGX3IWOHIZYA,B001IKJOLW,4.0
A1DF4MM3K93J0W,B001IKJOLW,4.0
A2VMKNYTJ973O3,B001IKJOLW,4.0
A1OZMZ4FLR5UPW,B001IKJOLW,5.0
A3G2IEH99QRNYP,B001IKJOLW,5.0
A9E07GS8ZV3ON,B001IKJOLW,5.0
ACDIEMICS7XGC,B001IKJOLW,5.0
A1223JGQ0GRSPT,B001IKJOLW,5.0
AUDAQGK21DH1Z,B001IKJOLW,4.0
ATSUXY7ASCGPY,B001IKJOLW,4.0
AY6GA8WZR3JKV,B001IKJOLW,5.0
A1NBH6OGAD3BSK,B001IKJOLW,3.0
A3DIMXA53RL7P,B001IKJOLW,5.0
A2RI4IA5982B8I,B001IKJOLW,4.0
A1EWNWTJPKEO4Z,B001IKJOLW,5.0
AXKDU1CHG7Y4,B001IKJOLW,4.0
A2FCRNY9C46Q4H,B001IKJOLW,5.0
AJWSFNS4F87M6,B001IKJOLW,3.0
A2KGKIJ528667I,B001IKJOLW,3.0
A2CP5A30XO5JUO,B001IKJOLW,5.0
A6IYTCB1PQ6NR,B001IKJOLW,3.0
A3CXL2P49AQQRH,B001IKJOLW,5.0
A1TEBP1FCCJW5V,B001IKJOLW,5.0
AD7ZF3D5JH9HL,B001IKJOLW,5.0
A2HL6AXS8GU07F,B001IKJOLW,5.0
A3GJ2XW7W3VC5L,B001IKJOLW,5.0
A1X1ZJUOWLSFPG,B001IKJOLW,5.0
A2QVLSH9P0BFA6,B001IKJOLW,4.0
